Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,481.441895,498.197052,478.744598,492.299591,470.126190,35901178
2016-01-14,486.356415,494.196838,481.419037,485.350677,463.490326,13911594
2016-01-15,489.053711,498.082733,487.156464,490.676636,468.576355,14383659
2016-01-18,491.453827,495.545471,460.869415,464.869598,443.931671,13627334
2016-01-19,470.424194,479.933228,463.612396,477.098816,455.610107,10744657
2016-01-20,473.121460,473.121460,452.594696,459.246460,438.561829,22557112
2016-01-21,465.189636,468.938385,446.514374,449.943115,429.677460,15884309
2016-01-22,454.446228,462.195190,454.446228,459.063599,438.387146,11841324
2016-01-25,461.738007,465.738220,457.166351,458.972168,438.299896,6549782
2016-01-27,460.869415,461.738007,455.772003,456.869202,436.291626,8625514
2016-01-28,457.623535,467.132599,455.840576,464.892456,443.953491,11537316
2016-01-29,465.829651,475.453003,465.395355,473.350037,452.030151,9588581
2016-02-01,475.430145,476.275909,468.846954,471.018494,449.803650,4959404
2016-02-02,471.018494,472.161407,452.823273,457.692108,437.077423,7385639
2016-02-03,451.680359,454.423370,445.737213,448.663055,428.455048,7845739
2016-02-04,451.680359,457.623535,441.485565,444.845734,424.809662,9101892
2016-02-05,447.611572,448.937378,439.519745,443.862823,423.871063,10499202
2016-02-08,443.954254,450.217438,437.942505,439.359741,419.570801,6039055
2016-02-09,435.633820,442.902771,434.308044,437.736786,418.020966,9801747
2016-02-10,435.085236,444.822876,433.690857,440.091187,420.269287,8441675
2016-02-11,440.182617,441.599854,418.535797,422.673157,403.635742,8557416
2016-02-12,426.947662,426.947662,406.009430,414.444153,395.777374,14659729
2016-02-15,419.678711,434.925201,419.678711,432.822235,413.327728,9641761
2016-02-16,434.810913,437.965363,423.793213,425.416168,406.255280,6512428
2016-02-17,427.496246,437.713928,418.947235,435.496674,415.881714,7721110
2016-02-18,440.228333,442.857056,427.907715,429.782104,410.424561,7216543
2016-02-19,429.736389,435.565247,428.524872,431.725037,412.279938,5117751
2016-02-22,431.610748,442.674194,431.610748,439.931183,420.116516,6385417
2016-02-23,440.296906,442.171295,430.993591,434.148041,414.593842,9494893
2016-02-24,431.976501,438.216797,430.650696,435.519531,415.903534,7593102
2016-02-25,436.228149,437.302490,430.124969,431.610748,412.170837,12413479
2016-02-26,435.679535,438.308258,431.702179,434.468048,414.899414,4174701
2016-02-29,434.902344,454.697662,427.450531,441.919861,422.015594,15516176
2016-03-01,441.028381,450.331726,441.005524,448.617340,428.411438,8226596
2016-03-02,453.920471,459.795074,451.337494,457.852112,437.230255,10052983
2016-03-03,461.738007,465.395355,456.023438,463.040955,442.185394,7940229
2016-03-04,463.566681,464.023865,458.766449,460.092224,439.369446,4493830
2016-03-08,460.595093,471.292786,460.595093,469.509857,448.362946,6611496
2016-03-09,466.309692,477.235962,465.669647,476.230194,454.780579,5927450
2016-03-10,476.390198,478.150299,461.280853,462.538055,441.705109,10353176
2016-03-11,463.978149,470.675629,462.012329,463.795258,442.905701,7659522
2016-03-14,465.898224,469.235535,463.086670,466.195404,445.197784,5940047
2016-03-15,468.138336,469.898438,464.069580,466.538269,445.525177,5243894
2016-03-16,466.766846,468.961243,459.657928,467.109711,446.070862,5532064
2016-03-17,469.509857,474.035797,462.652344,464.481018,448.554718,8416498
